codigo_de_barras,estoque
7896014500017,66.000
7896018700789,21.000
7896019613453,1408.000
7896021625123,1.000
7896022200121,284.000
7896022200381,60.000
7896022200534,328.000
7896022200794,46.000
7896022200961,924.000
7896022201302,5.000
7896022202606,59.000
7896022202620,46.000
7896022203122,108.000
7896023085710,11.000
7896023085727,16.000
7896024760135,150.000
7896024760302,79.000
7896024805201,4.000
7896025801172,136.000
7896025802865,12.000
7896025802889,5.000
7896025802919,35.000
7896029006719,108.000
7896029018958,34.000
7896036090244,1909.000
7896036090602,0.000
7896036092934,87.000
7896037800057,101.000
7896040703710,31.000
7896040703727,47.000
7896042026404,12.000
7896042059426,4.000
7896044936916,68.000
7896044936923,45.000
7896045523412,22874.000
7896048200105,235.000
7896048258014,226.000
7896052406845,151.000
7896052406890,301.000
7896058256239,395.000
7896058256260,76.000
7896061980015,10.000
7896066301778,59.000
7896066310701,13.000
7896066343242,43.000
7896067203033,223.000
7896075300311,359.000
7896075300564,625.000
7896075300717,1545.000
7896079535092,28.000
7896080001401,14.000
7896089016239,1365.000
7896089088496,41.000
7896090100064,220.000
7896090122707,599.000
7896090702015,21.000
7896090704545,84.000
7896090704644,21.000
7896090704880,244.000
7896091252410,35.000
7896094910904,674.000
7896094912779,46.000
7896096007688,58.000
7896098900109,308.000
7896098900178,34.000
7896098900208,972.000
7896098900215,344.000
7896098900222,476.000
7896098900239,61.000
7896098900253,3406.000
7896098900420,64.000
7896098900628,139.000
7896098900697,186.000
7896098900741,157.000
7896098900840,786.000
7896098901328,47.000
7896098901496,80.000
7896098901847,88.000
7896098902394,25.000
7896098902554,78.000
7896098903629,38.000
7896098904220,46.000
7896098904237,21.000
7896098904275,56.000
7896098904336,20.000
7896098904664,26.000
7896098904671,-1.000
7896098905432,179.000
7896102503715,200.000
7896114700034,134.000
7896117600034,0.000
7896117600058,32.000
7896117600164,197.000
7896183300333,117.000
7896183301019,161.000
7896183302993,22.000
7896183303006,12.000
7896183307431,4.000
7896185310033,13825.000
7896185310040,1694.000
7896185310057,1586.000
7896185310910,41.000
7896185311139,48.000
7896185312341,106.000
7896185312396,6437.000
7896193800229,173.000
7896200115346,1139.000
7896200115360,341.000
7896200115773,4419.000
7896205722211,53.000
7896209200081,11.000
7896213002794,95.000
7896214532207,13.000
7896228100133,32.000
7896237900182,107.000
7896243101719,44.000
7896275920258,94.000
7896275960131,2250.000
7896275960193,398.000
7896275960285,164.000
7896275960544,30.000
7896275960575,2718.000
7896275960896,5843.000
7896275970796,128.000
7896283000058,28.000
7896283800221,14920.000
7896289900581,598.000
7896290300011,191.000
7896304700127,73.000
7896304700158,92.000
7896304700165,91.000
7896304700172,24.000
7896304700424,63.000
7896304700622,59.000
7896304700684,24.000
7896304700820,132.000
7896304700837,45.000
7896306616389,390.000
7896306617492,296.000
7896314703521,36.000
7896314707635,44.000
7896314707680,10.000
7896314708533,6.000
7896314709561,69.000
7896331100143,152.000
7896331100471,113.000
7896353300323,30.000
7896353300897,68.000
7896353301184,712.000
7896356800035,77.000
7896419720010,61.000
7896436620218,71.000
7896436620416,84.000
7896436630118,126.000
7896439633338,1307.000
7896454100037,189.000
7896454100105,560.000
7896454100624,325.000
7896465000197,47.000
7896495000099,25.000
7896496972609,15.000
7896519241569,36.000
7896519246564,13.000
7896534400200,126.000
7896545500180,40.000
7896545800075,9.000
7896545800242,3.000
7896545800327,5.000
7896545800921,0.000
7896545803205,11.000
7896571100231,21.000
7896623100011,15.000
7896623100196,9.000
7896623100578,102.000
7896637300193,55.000
7896661200629,69.000
7896661230152,203.000
7896671600495,6.000
7896671630096,4.000
7896679782841,6.000
7896679782858,6.000
7896699500012,2357.000
7896699500029,472.000
7896712000093,94.000
7896712000307,59.000
7896712000901,157.000
7896772800152,22.000
7896784310014,562.000
7896828000239,280.000
7896843200157,324.000
7896843200225,107.000
7896843200980,8.000
7896843201154,10.000
7896894900013,2207.000
7896926700048,19.000
7896995732087,74.000
7896995736276,13.000
7897037200052,622.000
7897096600299,480.000
7897147500219,22.000
7897173098957,10.000
7897360600024,183.000
7897395020101,8621.000
7897517206086,8560.000
7897517209025,4047.000
7897664171558,9.000
7897815701320,97.000
7897871701029,146.000
7897871701043,343.000
7897986905008,16.000
7898009650080,20.000
7898009650127,4.000
7898022160030,7.000
7898022160399,74.000
7898024394181,342.000
7898024395232,267.000
7898024396529,128.000
7898029930360,25.000
7898029932012,12.000
7898036491670,50.000
7898036492370,75.000
7898036492738,52.000
7898036493100,35.000
7898039680286,14.000
7898080640017,5819.000
7898096641084,90.000
7898142861039,646.000
7898142861824,285.000
7898142864696,246.000
7898147033073,149.000
7898152990064,1753.000
7898152990408,25.000
7898205923650,5.000
7898206500027,359.000
7898206502014,0.000
7898215151722,444.000
7898215151760,388.000
7898215152002,4803.000
7898215152811,1978.000
7898234850118,100.000
7898240841391,27.000
7898247780075,1026.000
7898254780426,-90.000
7898254780464,804.000
7898264519610,0.000
7898264981868,10.000
7898271920935,511.000
7898275010045,15.000
7898288820044,83.000
7898288820877,795.000
7898313920312,1123.000
7898330514006,18.000
7898341430081,77.000
7898341430203,14.000
7898341430777,66.000
7898399470077,23.000
7898416780011,366.000
7898416780035,258.000
7898416830570,15.000
7898417040015,67.000
7898417040039,8.000
7898417040046,50.000
7898417040060,17.000
7898417040077,23.000
7898417040138,11.000
7898417040183,73.000
7898417040190,13.000
7898417040299,25.000
7898417040343,17.000
7898417040596,10.000
7898417040688,21.000
7898417040701,7.000
7898417040831,46.000
7898417040992,19.000
7898553442940,33.000
7898556092982,13.000
7898556093033,50.000
7898556093064,49.000
7898556093927,16.000
7898556093941,36.000
7898556094054,18.000
7898556094061,21.000
7898556094078,32.000
7898556094115,22.000
7898556094139,28.000
7898556094153,32.000
7898556094207,11.000
7898556094214,23.000
7898556094221,16.000
7898556094238,61.000
7898556094269,125.000
7898556094306,12.000
7898556094313,22.000
7898556094344,14.000
7898556094467,11.000
7898556094597,20.000
7898564901184,1.000
7898600720281,323.000
7898605170074,22.000
7898904537011,33.000
7898904845246,27.000
7898905200037,45.000
7898905835338,90.000
7898907989015,56.000
7898908207149,222.000
7898908207590,2111.000
7898912222039,53.000
7898915949155,1474.000
7898915949162,182.000
7898921282215,20.000
7898921860031,-1.000
7898923193311,144.000
7898924579947,48.000
7898925632689,5.000
7898929280381,159.000
7898930672472,192.000
7898931468012,334.000
7898934429232,285.000
7898934982591,12.000
7898936613110,42.000
7898938890014,114.000
7898940886029,8.000
7898940943166,22.000
7898946481860,214.000
7898954959580,4.000
7898954959733,190.000
7898955352069,58.000
7898955352168,457.000
7898955352250,8.000
7898955352304,179.000
7898955352649,137.000
7898955705209,12.000
7898967451286,279.000
7899254800220,145.000
7899433000649,6.000
7899433085288,84.000
7899433085325,40.000
7899433085363,21.000
7899433085493,16.000
7899433085523,162.000
7899433085554,28.000
7899433085691,5.000
7899433085721,54.000
7899567208607,61.000
7899567218118,229.000
7899567219269,73.000
7899567222931,85.000
7899567257346,48.000
7899567258664,60.000
7899970400698,36.000
8076800195057,76.000
8076802085738,50.000
8410179100036,304.000
8410179100050,47.000
8712937103311,63.000
8718291251187,4.000
